recommendationid,language,review,voted_up,timestamp_created,timestamp_updated,author.playtime_forever,author.playtime_at_review,steam_purchase,received_for_free,votes_up,votes_funny,weighted_vote_score,comment_count
224232902,russian,"Если есть хоть чуточка сомнений насчёт игры - развеивайте их и покупайте немедля. Игра превзошла все мои ожидания, причем по мере прогресса интерес только растёт.

Возможно игра даже больше затягивает, чем оригинальный Vampire Survivors, всем советую!",True,1777315963,1777315963,745,515,True,False,0,0,0.5,0
224232487,english,"Honestly the most addictive card battler I've ever played (even though I'm not particularly inclined to the genre) I had to try out another game by poncle. If you liked Vampire Survivors, you will absolutely love this game. Very reasonably priced for the value you get (10% off if you own VS)

The various attributes of each character is easy to understand, as well as the cards' abilities, arcanas, and upgrades; barrier to entry for newbies is low. It's super satisfying to pull off combos which can become overpowered with the right set-up. If you chain your cards ""infinitely"" you will spawn The Trickster, so be careful ;) As you progress and unlock new items, your deckbuilding will be where most of the strategy of this game is found. 

Took me ~20 hours of gameplay to 100% all achievements. Hoping that future updates will add more content because like Vampire Survivors, there is a finite amount of replay value with what is currently in the game. Overall 9.5/10 and HIGHLY recommended!",True,1777315539,1777315539,1388,1388,True,False,0,0,0.5,0
224232463,schinese,非常好玩，不愧是吸血鬼幸存者衍生作品，简单粗暴，一个字，爽~,True,1777315517,1777315517,3385,2338,True,False,0,0,0.5,0
224232415,koreana,재밌어요 좀 더 업데이트가 나왔으면..!,True,1777315481,1777315481,1293,910,True,False,0,0,0.5,0
224232285,english,"There's some games you go ""I think I get it"" and it just thumps down on the table the next 120 hours of your gaming history.  This is stupid amounts of fun and has more depth than the Bertha Rogers gas well (look it up).",True,1777315361,1777315361,812,795,True,False,3,0,0.556868553161621094,0
224232087,english,vampire crawlers has zero vampire and zero crawling but it's a great game,True,1777315182,1777315182,779,260,True,False,0,0,0.5,0
224232065,english,"I'm gonna say it: it's not good.
 
Super easy to figure out an infinite combo deck, it requires no luck to do, and all content is immediately trivial. There is no chasing a ""god build"". Figure out one trick to consistently cheese all content. That is just poor design.",False,1777315159,1777315159,938,938,True,False,3,1,0.501358449459075928,0
224231863,english,"I just rolled credits on this game last evening, this is one of the many great games on my growing list of games I've enjoyed so far this year.  I love the card mechanics (the dungeon crawling is a lil simple but works) and how the game just feels like Vampire Survivors (presentation, unlocks and general chaos).  Pretty addictive with build theory crafting and I like how you can create card and character synergies that make you feel like a god (or even get torn down when they don't work lol).  Music is also great, as it is mostly banging remixes of the VS soundtracks.  The only negatives I have for this game has to do with the handling of your active hand when you have way too many cards.  It is hard sometimes to see the cards all at once, and even select cards with the mouse (mouse cursor sometimes gets stuck on some cards for some reason, and I have accidentally clicked the wrong one on occasion).  To alleviate this, i flipped to playing with the controller, which made selecting and viewing cards better but not fully solve it.  Other then that I love the game and highly recommend it!",True,1777314979,1777314979,1444,1417,True,False,0,0,0.5,0
224231791,tchinese,"不用腦袋的卡牌遊戲基本等同於A片
除了點擊和爽以外就沒了",False,1777314908,1777314908,956,702,True,False,1,0,0.493403702974319458,0
224231761,schinese,爽的一,True,1777314873,1777314873,1528,1458,True,False,0,0,0.5,0
224231739,english,Great game. Only negative is that wild cards are completely busted and just lead to insta wins,True,1777314847,1777314847,670,670,True,False,1,0,0.523809552192687988,0
224231598,english,Slay the spire 2 came out and I was like oh damn best card game ever... but Im not so sure now lol,True,1777314710,1777314710,4855,611,True,False,1,0,0.515151500701904297,0
224231570,tchinese,"前期中期樂趣比較大, 打到難度6開始開始無聊, 一直用能力抽牌, 升滿難度都大多一回盒解決, 包括每關BOSS, 為了打Maximum Ultra Overkill賺錢較浪費時間, 中後期卡太多, 看起來困難, 後期基本上亂出就行, 但總體有創意, 用吸血鬼系列合成方式加上80/90年代的迷宮地城玩法, 很對我口味, 所以推薦80後玩家",True,1777314682,1777314682,1538,1538,True,False,0,0,0.5,0
224231563,schinese,数值膨胀神游,True,1777314672,1777314672,1183,1174,True,False,0,0,0.5,0
224231448,schinese,无聊透顶。。。，选牌甚至不能跳过，我都不知道这游戏有什么做成卡牌的必要，出牌根本不用动脑子，和幸存者只用装模作样按wasd有什么区别吗。。。根本不用做成卡牌游戏,False,1777314550,1777314550,29,29,True,False,0,1,0.406026095151901245,0
224231386,thai,"LSD (Lysergic acid diethylamide) หรือที่รู้จักในชื่อ ""กระดาษเมา"" หรือ ""แสตมป์มรณะ"" เป็นสารเสพติดหลอนประสาทชนิดรุนแรง ผลิตจากเชื้อราบนเมล็ดข้าวไรย์ ไม่มีสี ไม่มีกลิ่น มีฤทธิ์บิดเบือนการรับรู้ ความคิด อารมณ์ และประสาทสัมผัส ทำให้เกิดภาพหลอนอย่างรุนแรงและอันตรายต่อร่างกายและจิตใจ",True,1777314470,1777314470,399,329,True,False,0,0,0.5,0
224231377,english,"so simple, and yet so good.",True,1777314464,1777314464,1604,1348,True,False,0,0,0.5,0
224231185,schinese,真是好玩，爽麻了,True,1777314288,1777314288,582,281,True,False,0,0,0.5,0
224231180,turkish,"""200 saatten fazla oynadığım ve dopamin reseptörlerimi uğruna feda ettiğim Vampire Survivors oyununun bir yan oyunu mu çıktı, düşünmeye bile gerek yok havada kaparım"" diyerek aldığım bu oyun, ilginç şekilde beni fena kendisine bağladı. Sebepleriyle beraber gelin aşağıda birlikte irdeleyelim;

Bu oyun VS oyununa kıyasla sıra tabanlı bir kart oyunu, bambaşka bir türde aslında, ama eğer ki VS oynadıysanız ve az çok aşinaysanız oyundaki her şey size çok tanıdık gelecektir. Upgradeler, karakterler, silahlar, güçlendirmeler, hepsi direkt olarak VS oyunundan alınma, ama öyle bir noktaya getirilmiş ki oyun hem size tanıdık geliyor, hem de bambaşka bir oyun hissiyatı verebiliyor. Normalde kart oyunları bildiğiniz üzere herkese hitap etmez, çünkü tümü ""sen vur, ben vurayım, en çok vuran kazansın"" döngüsünden kolay kolay çıkamazlar. Çok sevilen Slay the Spire dahi bu döngüden nasibini almış, bu da mesela beni oyundan soğutmuştu. Ama bu oyunda durum bambaşka, kart oyunu döngüsüne o kadar çok ekleme yapılmış ki, şöyle söyleyeyim kendi oyun stilinizi komple kendiniz yaratmakta özgürsünüz. Nasıl mı, gelin anlatayım;

Oyun içinde kırmızı renkli saldırı kartları, sarı renkli upgrade kartları, mavi renkli defans kartları gibi renk renk sınıflandırılmış kartlar bulunmakta. Bu kartların her birinin işlevi, saldırı ve savunma şekilleri tamamen farklı, ama o farkın üzerine siz de karta eklemelerde bulunabiliyorsunuz. Her kartın üzerinde Gem adı verilen slotlar yer almakta, buralara envai çeşit Gem'lerden istediğinizi ekleyerek kartı her türlü şekle büründürmekte özgürsünüz, tabi şans da burada önemli bir faktör çünkü bu Gem'ler oyun içinde rasgele çıkıyor ve çıkanlar arasından seçim yapıyorsunuz, ama bunu manipüle etme yöntemi de var oraya da geleceğim. Gem çeşitler çok ama çok fazla, ben size birkaç tanesini fazla spoiler olmadan söylersem, kombo sayacına her şekilde katkı vermenizi sağlayan, manadan puan yememesini sağlayan, düşman öldürdüğünde para kazandıran, fazladan kart çektiren, kombo sayacını ters çeviren, mana kazandıran, can yenileten, düşman canının bir kısmını hasar olarak yanstan gibi gibi,  daha onlarcası var. bu şekilde, bunlar en basit örnekleri sadece. Bunları peki nasıl nadirliğini manipüle ediyoruz, çok güzel soru burada da devreye Blacksmith giriyor, Blacksmith sayesinde kartların hem gem slotu sayısını arttırabilirsiniz, hem de istediğiniz gem'leri daha sık, istemediklerinizin daha nadir gözükmesini sağlayabilirsiniz. Tabi bu işlemlerin hepsi para, para da oyun içinde kazanılıyor.

Gem mantığını anladık, peki mana sistemi nasıl? Her kart oyununda olduğu gibi burada da bir mana sistemi bulunmakta, kartların mana puanları oluyor, ve bunları gözeterek oynamanız gerekiyor. Burada yeni eklenen kısım, kombo sayacının aritmetik olarak manalar kullanıldığında devreye girmesi sistemi. Yani mana puanı 0, 1, 2, 3, sonra kombodan etkilenmeyen bir kart, 1, 2, gibi gibi kullanırsanız her kullanıldığında kartların faydaları kat kat artıyor. Can veren kartlar daha fazla can veriyor, hasar vuran kartlar daha fazla hasar vuruyor. Bu sistem öyle bir tatmin edici ki, bir noktadan sonra sırf ""önce hangisini oynasam, hangi kartın puanının artması bana daha faydalı"" taktiğini kurmak bile oyuna direkt olarak sizi bağlıyor.

Bitti mi hayır, daha Arcana'lar var. VS oynayanlar bilir Arcana sistemi oyuna bakış açınızı komple değiştirmenize olanak sağlardı. Burada da aynı işi görüyor. Oyunun başında bir arcana kartı seçiyorsunuz, sonrasında karşınızıa çıkarsa başka arcana kartlarını da alarak birbirleri ile kombolayabiliyorsunuz. Seçenek burada da oldukça fazla, can yenilemeyi 2 katına çıkaran da var, manayı elden ele aktaran, her 100 kartta mana arttıran gibi gibi çok var. Bunları da kurcalarsanız oyunlarınızda size oldukça faydalı olacaktır.

Bitti mi, hayır. Oyun içinde bolca sandık, toplanabilir, kart karşılığı güçlendirmeler, ve daha birçok şey bulabiliyorsunuz. Bunların içinde de yine evrim sistemi de yer almakta. Evrim sistemi VS ile neredeyse aynı, silahlar ve pasifler de aynı olduğundan yabancılık çekmiyorsunuz. Belirli bir silah ve pasif kart elinizde varsa ikisini birleştirip size evrimleşmiş daha güçlü bir versiyonunu sunuyor. Genellikle 2, 3, 4 mana olduğuundan oyun başında kullanmak bu kartları zor olsa da, haritalardaki 3. veya 4. katlarda artık mana sorunu azaldığından iyice tadını çıkarmaya başlıyorsunuz.

Bitti mi, yine hayır. Onlarca karakter içerisinden 3 karaktere kadar (upgrade kısmından güçlendirmesini aldıktan sonra 3 oluyor) seçerek o karakterlerin özelliklerinden faydalanabiliyorsunuz. Hem Crawler kartı denilen karakterin kendine has bir kartı bulunuyor, hem de her karakterin belirli bir kart türü ve rengine karşı verdiği bir bonus oluyor. Bunları da birbiri ile bağladığınızda yine çok tatmin edici sonuçlar alabiliyorsunuz.

Bitti mi, yine ve yine hayır. Oyunda bolca harita bulunuyor, haritaların temaları farklı olsa da bir noktadan sonra aynı şeyi yapma hissiyatı sizi buluyor, ama yine de bu oyundan sıkılmanıza izin vermiyor. VS oyununa kıyasla bu sefer haritaların zorluk seviyeleri numaralandırılmış, bu da bir haritaya girmeden önce (en azından ilk seferde) size hazırlık imkanı tanıyor. Oyun belli aşamalarda sizi fazlasıyla zorluyor, kolay bir oyun olduğunu düşünüyorsanız düşünmeyin bence. İlk 2 3 saat zaten sistemi tanıma, ve haritalarda debelenmek ile para toplayıp yeni özellikleri açmakla geçiyor. Belli bir noktadan sonra kırılma eşiği geliyor ve işte o noktada eğlence katsayısı da giderek artıyor.

Sonuç olarak, hayatımda oynadığım en iyi rogue like diyemem, hala Vampire Survivors oyunu benim için çok daha özel, ama bu oyun da özellikle ileride gelişime açık potansiyeliyle beni fazlasıyla heyecanlandırıyor. Kim bilir, bir gün belki buna da 200 saat gömmüş olurum.",True,1777314286,1777314286,940,701,True,False,2,0,0.545454561710357666,1
